nombre,ciudad,provincia,telefono,email,instagram,web,fuente,lat,lon,fecha
Acentos,Narón,Galicia,+34981389458,,,,osm,43.5079961,-8.1833338,2026-05-18
Azul y Blanco,Campo de Criptana,Castilla-La Mancha,,,,,osm,39.4023954,-3.1324642,2026-05-18
Marta Neira,Ferrol,Galicia,+34881936875;+34618455355,,,,osm,43.491672,-8.2157353,2026-05-18
Peluquería Strass,Santander,Cantabria,,,,,osm,43.4686837,-3.7930356,2026-05-18
Peluquería Pilar Moratón,Santander,Cantabria,,,,,osm,43.4693269,-3.7933985,2026-05-18
Peliqueria Maria Angeles,Sant Vicenç dels Horts,Catalunya,,,,,osm,41.4484412,1.9760825,2026-05-18
Le Petit Salon de Miriam,Sant Vicenç dels Horts,Catalunya,,,,,osm,41.4480007,1.9766724,2026-05-18
Shampu,Sant Vicenç dels Horts,Catalunya,,,,,osm,41.4478383,1.9770182,2026-05-18
Layfer,Zaragoza,Aragón,,,,,osm,41.6300318,-0.8852371,2026-05-18
Etelvina Ortiz,Madrid,Madrid,+34917511859,,,,osm,40.4081678,-3.6398202,2026-05-18
Peluquería Lorena,Madrid,Madrid,+34914302204;+34618361199,,,,osm,40.4094484,-3.6424674,2026-05-18
Núri,Anglès,Catalunya,,,,,osm,41.9690679,2.6205255,2026-05-18
L'Ateneu,Anglès,Catalunya,,,,,osm,41.9678015,2.6212797,2026-05-18
Joaquín,Vigo,Galicia,,,,,osm,42.2243827,-8.7292761,2026-05-18
Korplas Peluqueros,Villaviciosa de Odón,Madrid,,,,,osm,40.3576467,-3.9019834,2026-05-18
José Luis y Pilar Peluqueros,Madrid,Madrid,+34914391038,,,,osm,40.4096094,-3.6473287,2026-05-18
Peluquería Bucles,Santander,Cantabria,+34942313115,,,,osm,43.4692921,-3.8010873,2026-05-18
Peluquería Ambro Unisex,Terrassa,Catalunya,+34937804088,,,,osm,41.5572231,1.9999482,2026-05-18
Beatriz Santos,Huelva,Andalucía,,,,,osm,37.2606951,-6.9466237,2026-05-18
Pivot Point Academia de Peluquería,Huelva,Andalucía,,,,,osm,37.2597056,-6.9470515,2026-05-18
El Club Peluquería,Aljaraque,Andalucía,,,,,osm,37.2591154,-6.9518535,2026-05-18
SalonJQ,Puertito de Güímar,Canarias,+34922456288,salon@juanraquintero.com,,https://www.juanraquintero.com/,osm,28.2966553,-16.3750999,2026-05-18
Peluquería Freya,Nerva,Andalucía,,,,,osm,37.6983308,-6.5506998,2026-05-18
Majesticbarber,Nerva,Andalucía,,,,,osm,37.6969041,-6.5500565,2026-05-18
Beni Calero & Toñi Maña estilistas,Huelva,Andalucía,,,,,osm,37.2744461,-6.9353946,2026-05-18
Roses,Santander,Cantabria,+34942282912,,,,osm,43.4695004,-3.7996757,2026-05-18
Sonia Barreira,A Coruña,Galicia,,,,,osm,43.3583787,-8.4094819,2026-05-18
Mary Feli,Cistierna,Castilla y León,,,,,osm,42.8042857,-5.1288552,2026-05-18
Edith,Cistierna,Castilla y León,,,,,osm,42.8033989,-5.1282177,2026-05-18
Ritmox,León,Castilla y León,,,,,osm,42.5874531,-5.5691116,2026-05-18
Yula estilistas,León,Castilla y León,,,,,osm,42.5922473,-5.5748392,2026-05-18
Nazareth,León,Castilla y León,,,,,osm,42.5868946,-5.5674232,2026-05-18
Tussen by María Lazz,Zaragoza,Aragón,,,,,osm,41.6389367,-0.8857104,2026-05-18
Merce,Salardú,Catalunya,,,,,osm,42.7073351,0.9024517,2026-05-18
Peluquería Aida,Piloña,Asturias / Asturies,,,,,osm,43.3602582,-5.2542875,2026-05-18
Inés Estilisme,Sierra Engarcerán,Comunitat Valenciana,,,,,osm,40.2695577,-0.0186803,2026-05-18
Perruqueria Rinxols d'Or,Abrera,Catalunya,,,,,osm,41.4742775,1.9287235,2026-05-18
Ricardo Peluquero,Logroño,La Rioja,,,,,osm,42.4562106,-2.4380076,2026-05-18
Anima Lliure,Abrera,Catalunya,+34653695491,animalliuremartorell@gmail.com,,,osm,41.4742786,1.9287683,2026-05-18
Peluquería Albamar,Cehegín,Murcia,,,,,osm,38.092722,-1.7873505,2026-05-18
Isabel Teruel,Cehegín,Murcia,,,,,osm,38.0925978,-1.7865951,2026-05-18
Peluqueria Ana Blanco,Santander,Cantabria,+34942070942,,,,osm,43.4685425,-3.7981463,2026-05-18
Lucrecia Martínez,Santander,Cantabria,+34942227134,,,,osm,43.4686864,-3.805102,2026-05-18
Brushes,Madrid,Madrid,,,,,osm,40.4177833,-3.6639389,2026-05-18
La Barberia de Juan,Sestao,Euskadi,,,,,osm,43.3215945,-2.9871686,2026-05-18
Modino's,Sestao,Euskadi,,,,,osm,43.3231366,-2.9872223,2026-05-18
Tris Tras,Sestao,Euskadi,,,,,osm,43.3235199,-2.9864494,2026-05-18
Cristina Bao,A Coruña,Galicia,,,,,osm,43.358642,-8.41792,2026-05-18
La Peluquería by Amparo Carrió,València,Comunitat Valenciana,,,,,osm,39.4850542,-0.3717837,2026-05-18
La oveja negra,Jaén,Andalucía,+34953006173,,,,osm,37.7773561,-3.787932,2026-05-18
Peluquería Kuttuna Ileapaindegia,Pamplona / Iruña,Navarra,,,,,osm,42.8050343,-1.6766044,2026-05-18
Peluquería La Florida,Oviedo,Asturias / Asturies,,,,,osm,43.3666972,-5.8751808,2026-05-18
Lydia Castrosín,Oviedo,Asturias / Asturies,+34985273807,,,http://www.lydiacastrosin.es/,osm,43.3672871,-5.8741485,2026-05-18
Peluquería Laura López,Santander,Cantabria,+34942311566,,,,osm,43.4688376,-3.8031378,2026-05-18
Eva Primoy,Ferrol,Galicia,+34696229942,,,,osm,43.4838136,-8.2257694,2026-05-18
Hair Time,Lugo,Galicia,,,,,osm,43.0120483,-7.5597991,2026-05-18
Peluquería Kor-t,Soria,Castilla y León,,,,,osm,41.7661733,-2.4704741,2026-05-18
Peluquería Unisex Newlook,Sevilla,Sevilla,+34954612956,,,,osm,37.3480353,-5.9807252,2026-05-18
Juanlu Cortes,Almería,Andalucía,,,,,osm,36.8502852,-2.3092054,2026-05-18
Patricia Pose,A Coruña,Galicia,,,,,osm,43.3593275,-8.421464,2026-05-18
Alizia,Palencia,Castilla y León,,,,,osm,42.0002602,-4.5215186,2026-05-18
Verónica Rico,Palencia,Castilla y León,,,,,osm,42.0084293,-4.5325853,2026-05-18
Alexandra Peluquería,Santander,Cantabria,+34942071626,,,,osm,43.4680595,-3.8061592,2026-05-18
Elite,Benidorm,Comunitat Valenciana,,,,,osm,38.5343395,-0.1092795,2026-05-18
Joselito,Benidorm,Comunitat Valenciana,,,,,osm,38.5361763,-0.1177536,2026-05-18
La Isla,Felanitx,Illes Balears,,,,,osm,39.4685451,3.1490351,2026-05-18
Peluquería Nuria,Pesquera de Duero,Castilla y León,+34983870176,,,,osm,41.640949,-4.1568603,2026-05-18
Salón de Peluquería Reina Mercedes,Sevilla,Sevilla,+34954621201,,,,osm,37.3605348,-5.9859811,2026-05-18
María Sánchez,Madrid,Madrid,,,,,osm,40.46453,-3.7241477,2026-05-18
Fran Vizcaya BarberShop,Sevilla,Sevilla,+34658173246,,,https://fran-vizcaya-barbershop.negocio.site/,osm,37.3751783,-5.9998596,2026-05-18
Sonia Ferrer,Zaragoza,Aragón,,,,,osm,41.6315212,-0.8842869,2026-05-18
Acqua peluqueros,Bilbao,Euskadi,+34944223276,,,,osm,43.2594233,-2.9396689,2026-05-18
Es Cantó,Palma,Illes Balears,,,,,osm,39.6229413,2.6545347,2026-05-18
Gusta T,Sestao,Euskadi,,,,,osm,43.3223853,-2.9843372,2026-05-18
Verónica López,Benia de Onís,Asturias / Asturies,+34606768578,,,,osm,43.3345028,-4.9692515,2026-05-18
Peluquería Villar,Viveiro,Galicia,,,,,osm,43.6621203,-7.5937672,2026-05-18
Peluquería Carmen Díaz,Viveiro,Galicia,,,,,osm,43.662291,-7.5935311,2026-05-18
Peluquería América,Santander,Cantabria,+34942221257,,,,osm,43.4679901,-3.802582,2026-05-18
Kolosseum,Granada,Andalucía,+34958521495,,,http://www.kolosseumpeluquerias.es,osm,37.1698538,-3.5995337,2026-05-18
Peluquería Ana Aja,Santander,Cantabria,+34942278137,,,,osm,43.4686643,-3.7944694,2026-05-18
Israel Terán Peluqueros,Santander,Cantabria,+34942135979,,,,osm,43.4685253,-3.7953448,2026-05-18
Bene,Benidorm,Comunitat Valenciana,,,,,osm,38.5357829,-0.1307232,2026-05-18
Bea Chisari,Benidorm,Comunitat Valenciana,,,,,osm,38.5384002,-0.1356798,2026-05-18
Fernando,Benidorm,Comunitat Valenciana,,,,,osm,38.5397161,-0.1326024,2026-05-18
Extensión,A Coruña,Galicia,,,,,osm,43.3529586,-8.3962887,2026-05-18
Sintzazu,Madrid,Madrid,,,,,osm,40.4044297,-3.6757108,2026-05-18
Fina Bartina,Tortellà,Catalunya,,,,,osm,42.2342121,2.629834,2026-05-18
Barbería Salvi,Padul,Andalucía,,,,,osm,37.0239627,-3.6257785,2026-05-18
Peluquería Mariola Charraza,Guardamar del Segura,Comunitat Valenciana,+34966714763,,,,osm,38.0883269,-0.7287515,2026-05-18
VZLA Peluquería Barbería,A Coruña,Galicia,,,,,osm,43.3522368,-8.3920317,2026-05-18
Ruth González Peluquería Unisex,Santander,Cantabria,+34942055121,,,,osm,43.4686025,-3.7975774,2026-05-18
Peluquería Renova's,Santander,Cantabria,+34942218475,,,,osm,43.4689346,-3.7968602,2026-05-18
Agarimo,A Coruña,Galicia,,,,,osm,43.3672435,-8.4218196,2026-05-18
Vidal,A Coruña,Galicia,,,,,osm,43.3675672,-8.4222224,2026-05-18
Michele,A Coruña,Galicia,,,,,osm,43.3677479,-8.4228188,2026-05-18
Peluquería MOGA,Sevilla,Andalucía,+34954693181,,,,osm,37.3319105,-5.96663,2026-05-18
Jean Claude Olivier Peluqueros,Santander,Cantabria,+34942108517,,,https://jeanclaudeolivier.com/,osm,43.4692596,-3.7964581,2026-05-18
Paky,Padul,Andalucía,,,,,osm,37.0247398,-3.6234027,2026-05-18
Cesca,Sant Pere de Torelló,Catalunya,,,,,osm,42.0749589,2.2944551,2026-05-18
Stylo 21,Benidorm,Comunitat Valenciana,+34630118146,,,https://stylo21peluqueria.com/,osm,38.5394944,-0.1314012,2026-05-18
Vlance,Benidorm,Comunitat Valenciana,,,,,osm,38.5377842,-0.1218846,2026-05-18
Plattino,Granada,Andalucía,+34958296431,,,https://www.plattino.com/,osm,37.1751942,-3.6033493,2026-05-18
Tao Estilistas,Granada,Andalucía,+34958255509,info@taoestilistas.com,,https://taoestilistas.com,osm,37.1752159,-3.6030144,2026-05-18
Masters Peluqueros,Granada,Andalucía,,,,,osm,37.1754458,-3.6022845,2026-05-18
Carmen Ríos,Granada,Andalucía,,,,,osm,37.1755993,-3.6021806,2026-05-18
GR Barber,Eibar,Euskadi,,,,,osm,43.1848917,-2.4725688,2026-05-18
Poli 'd,Arroyo de la Encomienda,Castilla y León,,,,,osm,41.625441,-4.7720606,2026-05-18
Estètica Desitjos,Bescanó,Catalunya,,,,,osm,41.9689212,2.6697799,2026-05-18
Kezia peluqueros,Salamanca,Castilla y León,,,,,osm,40.9615458,-5.6643413,2026-05-18
Marisa Otero,A Coruña,Galicia,,,,,osm,43.3458978,-8.4058505,2026-05-18
Perruqueria Montserrat,Barcelona,Catalunya,,,,,osm,41.4218661,2.1745073,2026-05-18
Perruqueria Susana Cases,Barcelona,Catalunya,,,,,osm,41.4285671,2.1785845,2026-05-18
Barbería Roble,Padul,Andalucía,,,,,osm,37.0233751,-3.6281543,2026-05-18
Angel,Sestao,Euskadi,,,,,osm,43.2759501,-2.9719677,2026-05-18
Violeta,Benidorm,Comunitat Valenciana,+34653911498,,,,osm,38.5372662,-0.1188283,2026-05-18
Guapix,Benidorm,Comunitat Valenciana,+34965853637,,,https://www.guapix.es/,osm,38.536871,-0.1279511,2026-05-18
Syolo,Benidorm,Comunitat Valenciana,+34966809684,,,,osm,38.540733,-0.1238868,2026-05-18
Manuel Peluqueros,Sevilla,Sevilla,,,,,osm,37.3830485,-6.01209,2026-05-18
Peluquería Gloss,Ejea de los Caballeros,Aragón,,,,,osm,42.125017,-1.1380769,2026-05-18
La Grada,Madrid,Madrid,,,,,osm,40.4779702,-3.6985026,2026-05-18
Mago,Madrid,Madrid,,,,,osm,40.4768042,-3.715487,2026-05-18
Beatriz Huerga,León,Castilla y León,,,,,osm,42.5896667,-5.5633757,2026-05-18
Hele,León,Castilla y León,,,,,osm,42.5882262,-5.5630904,2026-05-18
Mon Ferbal,Boiro,Galicia,,,,,osm,42.6453005,-8.891026,2026-05-18
Los más bárbaros,Torrelodones,Madrid,,,,,osm,40.5688847,-3.9204108,2026-05-18
Barbería Eugenio Sainz,Sevilla,Sevilla,+34645772328,,,,osm,37.3849484,-6.006038,2026-05-18
Xovial,A Coruña,Galicia,,,,,osm,43.3493805,-8.3973526,2026-05-18
Marila,A Coruña,Galicia,,,,,osm,43.3489969,-8.3959201,2026-05-18
Os Castros,A Coruña,Galicia,,,,,osm,43.352078,-8.3883707,2026-05-18
Michel,Zaragoza,Aragón,,,,,osm,41.631164,-0.8865701,2026-05-18
Peluquería Esther,Sevilla,Sevilla,+34954278911,,,,osm,37.3800162,-5.9993163,2026-05-18
Virginia & Go!,Sevilla,Sevilla,+34673379133,,,,osm,37.380224,-5.9993115,2026-05-18
Imaxe,Abegondo,Galicia,,,,,osm,43.2436247,-8.2764889,2026-05-18
Salon 12,Beniarbeig,Comunitat Valenciana,,,,,osm,38.7926546,-0.0279055,2026-05-18
